samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
579439,1,boost_long,1.843759047173962,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
361186,1,boost_long,1.777234230740174,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
856815,1,boost_long,1.6784790590921081,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
112860,1,boost_long,1.8349142307630582,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
520797,1,boost_long,1.3951118604618218,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
614741,1,boost_long,2.4362385781129556,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
150232,1,boost_long,2.154201689157391,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
684202,1,boost_long,3.0409875335407044,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
294899,1,boost_long,2.523317989050952,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
360972,1,boost_long,2.2923495005037124,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
904787,1,boost_long,2.2808241314170625,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
730458,1,boost_long,1.913795993943747,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
37086,1,boost_long,1.9009388188547525,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
730897,1,boost_long,2.1575848163434506,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
872346,1,boost_long,1.9317525098551551,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
868544,1,boost_long,3.224415412034583,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
812736,1,boost_long,2.220869363065529,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
33422,1,boost_long,2.2524324441035266,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
320075,1,boost_long,2.0118613839010644,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
663504,1,boost_long,2.767053456393653,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
731117,1,boost_long,2.969184580619252,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
96200,1,boost_long,3.173904854326483,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
316586,1,boost_long,1.9588047619437197,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
394326,1,boost_long,2.70485394041674,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
904934,1,boost_long,2.540679658251813,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
190798,1,boost_long,2.3500109743188373,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
991738,1,boost_long,2.3570173474209835,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
366405,1,boost_long,3.0780067684191166,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
649959,1,boost_long,1.7157425124132901,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
919903,1,boost_long,1.946198579694099,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
35622,1,boost_long,1.7570762515675882,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
56150,1,boost_long,2.006344064432579,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
627484,1,boost_long,2.5650860792962518,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
492807,1,boost_long,2.9335068227217906,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
653168,1,boost_long,1.391402335353143,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
806157,1,boost_long,1.645995396087832,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
691574,1,boost_long,1.916849386984554,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
540368,1,boost_long,2.126832930534063,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
776872,1,boost_long,2.2195022668005064,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
523407,1,boost_long,1.6825902387611256,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
789695,1,boost_long,1.5596277879136362,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
940210,1,boost_long,2.2033668474669583,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
685637,1,boost_long,1.6357530016958024,Long-term boost,IC50,"Long-term boost
(IC50)",1.51566898870728,2.93227613438173
