names,median,mean,lower95_CrI,upper95_CrI,ess,Rhat point estimate,Rhat upper CI
boost_long,3.43889840445455,3.4423853710972043,3.186183741848556,3.6876875887424725,706.4008194362732,1.004064217563428,1.0082124709257483
boost_short,2.46846530655617,2.480590964212264,2.188919251074814,2.821419721849897,776.8493767953064,1.0093748959106383,1.032119187839118
antigenic_seniority,0.19442822619886,0.19497353718488708,0.1464891500697226,0.2445069228900346,805.6861018336862,1.0020913219014187,1.0132987979031627
wane_short,0.538701026189256,0.5422193349289139,0.4743913399497749,0.6328611921007367,1005.0000000000002,1.0044847050357433,1.015514467060326
cr_long,0.104116746514094,0.10355250020338712,0.09013673183313405,0.11221650940342999,664.9470043691531,1.0087453280692322,1.0279046555108982
cr_short,0.0109741376519765,0.01563366514935669,4.7934296319976605e-4,0.05458192274888187,701.2407115849605,1.006775000264078,1.0188744174641347
obs_sd,1.07499235678382,1.075241402460977,1.032244647657279,1.121494832476108,958.5824199671654,1.0027019163699946,1.0139397537844008
boost_short.1,1.84540399177249,1.8482134242447754,1.720956558399433,1.9825964957149769,1004.9999999999998,1.002336534000705,1.0114691115772585
antigenic_seniority.1,0.731825281864919,0.7325532869426222,0.6421811494109764,0.8170161352116939,886.638416303335,1.0011620486330748,1.0104844244294566
wane_short.1,0.00328953968039461,0.004305255933964774,1.3572351665922783e-4,0.01464253106929351,870.2585158945743,1.0075123534552504,1.0177952919875286
cr_short.1,0.0126305980263884,0.013137529320302661,7.839781742078362e-4,0.028690701495513844,861.7673589206404,1.004591665555919,1.0187339539684874
obs_sd.1,0.891393767046183,0.8914247177401965,0.8551259602723721,0.9279770662196408,1004.9999999999999,0.9979608562660297,1.0004805167587867
total_infections,574,575.7412935323383,546,607.9,764.5253542968544,0.9978891133537285,0.9993493557940673
